10	300
Cathy_Freeman	Cathy_Freeman_0001	Cathy_Freeman_0002
Chang_Dae-whan	Chang_Dae-whan_0001	Chang_Dae-whan_0002
Charles_Grassley	Charles_Grassley_0001	Charles_Grassley_0002
Clare_Short	Clare_Short_0001	Clare_Short_0003
Clare_Short	Clare_Short_0001	Clare_Short_0004
Corinne_Coman	Corinne_Coman_0001	Corinne_Coman_0002
Dai_Bachtiar	Dai_Bachtiar_0001	Dai_Bachtiar_0002
Dale_Earnhardt_Jr	Dale_Earnhardt_Jr_0001	Dale_Earnhardt_Jr_0003
David_Caruso	David_Caruso_0001	David_Caruso_0002
Demi_Moore	Demi_Moore_0001	Demi_Moore_0003
Dick_Vermeil	Dick_Vermeil_0001	Dick_Vermeil_0002
Doris_Roberts	Doris_Roberts_0001	Doris_Roberts_0002
Doris_Roberts	Doris_Roberts_0001	Doris_Roberts_0003
Drew_Barrymore	Drew_Barrymore_0001	Drew_Barrymore_0002
Edmund_Stoiber	Edmund_Stoiber_0004	Edmund_Stoiber_0007
Edmund_Stoiber	Edmund_Stoiber_0005	Edmund_Stoiber_0007
Edmund_Stoiber	Edmund_Stoiber_0007	Edmund_Stoiber_0012
Edmund_Stoiber	Edmund_Stoiber_0009	Edmund_Stoiber_0011
Elinor_Caplan	Elinor_Caplan_0001	Elinor_Caplan_0002
Emmanuelle_Beart	Emmanuelle_Beart_0001	Emmanuelle_Beart_0002
Emmanuelle_Beart	Emmanuelle_Beart_0001	Emmanuelle_Beart_0003
Federico_Trillo	Federico_Trillo_0001	Federico_Trillo_0002
Federico_Trillo	Federico_Trillo_0001	Federico_Trillo_0003
Federico_Trillo	Federico_Trillo_0002	Federico_Trillo_0003
Francis_Ford_Coppola	Francis_Ford_Coppola_0001	Francis_Ford_Coppola_0002
Fred_Thompson	Fred_Thompson_0001	Fred_Thompson_0002
Fred_Thompson	Fred_Thompson_0001	Fred_Thompson_0003
Fred_Thompson	Fred_Thompson_0002	Fred_Thompson_0003
Garry_Trudeau	Garry_Trudeau_0001	Garry_Trudeau_0002
Gary_Williams	Gary_Williams_0001	Gary_Williams_0002
Gene_Robinson	Gene_Robinson_0001	Gene_Robinson_0002
Gene_Robinson	Gene_Robinson_0001	Gene_Robinson_0003
Gene_Robinson	Gene_Robinson_0002	Gene_Robinson_0003
George_Galloway	George_Galloway_0001	George_Galloway_0003
George_Galloway	George_Galloway_0002	George_Galloway_0003
George_Galloway	George_Galloway_0002	George_Galloway_0004
Geraldine_Chaplin	Geraldine_Chaplin_0001	Geraldine_Chaplin_0002
Geraldine_Chaplin	Geraldine_Chaplin_0001	Geraldine_Chaplin_0004
Geraldine_Chaplin	Geraldine_Chaplin_0003	Geraldine_Chaplin_0004
Gerardo_Gambala	Gerardo_Gambala_0001	Gerardo_Gambala_0002
Gian_Marco	Gian_Marco_0001	Gian_Marco_0002
Gian_Marco	Gian_Marco_0002	Gian_Marco_0003
Gillian_Anderson	Gillian_Anderson_0001	Gillian_Anderson_0002
Gordon_Brown	Gordon_Brown_0006	Gordon_Brown_0009
Gordon_Brown	Gordon_Brown_0010	Gordon_Brown_0013
Grant_Hackett	Grant_Hackett_0001	Grant_Hackett_0002
Grant_Hackett	Grant_Hackett_0001	Grant_Hackett_0003
Grant_Hackett	Grant_Hackett_0001	Grant_Hackett_0005
Gray_Davis	Gray_Davis_0007	Gray_Davis_0022
Gray_Davis	Gray_Davis_0021	Gray_Davis_0026
Gregg_Popovich	Gregg_Popovich_0001	Gregg_Popovich_0005
Gregg_Popovich	Gregg_Popovich_0003	Gregg_Popovich_0004
Guy_Ritchie	Guy_Ritchie_0001	Guy_Ritchie_0002
Hamzah_Haz	Hamzah_Haz_0001	Hamzah_Haz_0002
Harbhajan_Singh	Harbhajan_Singh_0001	Harbhajan_Singh_0002
Hootie_Johnson	Hootie_Johnson_0001	Hootie_Johnson_0002
Hugo_Chavez	Hugo_Chavez_0002	Hugo_Chavez_0027
Hugo_Chavez	Hugo_Chavez_0027	Hugo_Chavez_0053
Hugo_Chavez	Hugo_Chavez_0036	Hugo_Chavez_0051
Hugo_Chavez	Hugo_Chavez_0041	Hugo_Chavez_0050
Hugo_Chavez	Hugo_Chavez_0045	Hugo_Chavez_0056
Isaiah_Washington	Isaiah_Washington_0001	Isaiah_Washington_0002
Jack_Grubman	Jack_Grubman_0001	Jack_Grubman_0002
Jacques_Rogge	Jacques_Rogge_0001	Jacques_Rogge_0009
Jacques_Rogge	Jacques_Rogge_0003	Jacques_Rogge_0007
Jacques_Rogge	Jacques_Rogge_0003	Jacques_Rogge_0010
Jacques_Rogge	Jacques_Rogge_0004	Jacques_Rogge_0006
Jacques_Rogge	Jacques_Rogge_0004	Jacques_Rogge_0009
Jacques_Rogge	Jacques_Rogge_0005	Jacques_Rogge_0008
Jacques_Rogge	Jacques_Rogge_0006	Jacques_Rogge_0008
James_Caan	James_Caan_0001	James_Caan_0002
James_Caan	James_Caan_0001	James_Caan_0003
James_Caan	James_Caan_0002	James_Caan_0003
James_Jones	James_Jones_0001	James_Jones_0002
Jamling_Norgay	Jamling_Norgay_0001	Jamling_Norgay_0002
Janica_Kostelic	Janica_Kostelic_0001	Janica_Kostelic_0002
Jeanne_Moreau	Jeanne_Moreau_0001	Jeanne_Moreau_0002
Jeffrey_Archer	Jeffrey_Archer_0001	Jeffrey_Archer_0002
Jennifer_Garner	Jennifer_Garner_0001	Jennifer_Garner_0003
Jennifer_Garner	Jennifer_Garner_0004	Jennifer_Garner_0009
Jennifer_Garner	Jennifer_Garner_0005	Jennifer_Garner_0006
Jennifer_Garner	Jennifer_Garner_0005	Jennifer_Garner_0009
Jennifer_Garner	Jennifer_Garner_0007	Jennifer_Garner_0012
Jennifer_Garner	Jennifer_Garner_0008	Jennifer_Garner_0011
Jeremy_Greenstock	Jeremy_Greenstock_0002	Jeremy_Greenstock_0024
Jeremy_Greenstock	Jeremy_Greenstock_0003	Jeremy_Greenstock_0022
Jeremy_Greenstock	Jeremy_Greenstock_0005	Jeremy_Greenstock_0011
Jeremy_Greenstock	Jeremy_Greenstock_0010	Jeremy_Greenstock_0014
Jeremy_Greenstock	Jeremy_Greenstock_0017	Jeremy_Greenstock_0021
Jessica_Lange	Jessica_Lange_0001	Jessica_Lange_0002
Jimmy_Carter	Jimmy_Carter_0001	Jimmy_Carter_0007
Jimmy_Carter	Jimmy_Carter_0004	Jimmy_Carter_0006
Jimmy_Carter	Jimmy_Carter_0005	Jimmy_Carter_0008
Jimmy_Carter	Jimmy_Carter_0006	Jimmy_Carter_0007
Jodie_Foster	Jodie_Foster_0001	Jodie_Foster_0002
John_Manley	John_Manley_0001	John_Manley_0006
John_Manley	John_Manley_0002	John_Manley_0005
John_McCain	John_McCain_0002	John_McCain_0003
John_McCain	John_McCain_0003	John_McCain_0007
John_McCain	John_McCain_0006	John_McCain_0007
John_Snow	John_Snow_0003	John_Snow_0015
John_Snow	John_Snow_0004	John_Snow_0016
John_Snow	John_Snow_0009	John_Snow_0011
Johnson_Panjaitan	Johnson_Panjaitan_0001	Johnson_Panjaitan_0002
Jorge_Castaneda	Jorge_Castaneda_0001	Jorge_Castaneda_0002
Jose_Serra	Jose_Serra_0001	Jose_Serra_0009
Jose_Serra	Jose_Serra_0002	Jose_Serra_0008
Jose_Serra	Jose_Serra_0003	Jose_Serra_0005
Jose_Serra	Jose_Serra_0003	Jose_Serra_0007
Jose_Serra	Jose_Serra_0006	Jose_Serra_0009
Jose_Theodore	Jose_Theodore_0001	Jose_Theodore_0002
Joseph_Blatter	Joseph_Blatter_0001	Joseph_Blatter_0002
Joseph_Ralston	Joseph_Ralston_0001	Joseph_Ralston_0002
Juan_Pablo_Montoya	Juan_Pablo_Montoya_0001	Juan_Pablo_Montoya_0008
Juan_Pablo_Montoya	Juan_Pablo_Montoya_0002	Juan_Pablo_Montoya_0004
Juan_Pablo_Montoya	Juan_Pablo_Montoya_0004	Juan_Pablo_Montoya_0005
Julianna_Margulies	Julianna_Margulies_0001	Julianna_Margulies_0002
Justin_Guarini	Justin_Guarini_0001	Justin_Guarini_0002
Justin_Guarini	Justin_Guarini_0002	Justin_Guarini_0003
Justine_Henin	Justine_Henin_0002	Justine_Henin_0003
Kate_Winslet	Kate_Winslet_0001	Kate_Winslet_0002
Kate_Winslet	Kate_Winslet_0001	Kate_Winslet_0004
Kate_Winslet	Kate_Winslet_0002	Kate_Winslet_0003
Kate_Winslet	Kate_Winslet_0002	Kate_Winslet_0004
Kathy_Winters	Kathy_Winters_0001	Kathy_Winters_0002
Kelvin_Sampson	Kelvin_Sampson_0001	Kelvin_Sampson_0002
Kevin_Stallings	Kevin_Stallings_0001	Kevin_Stallings_0002
Kim_Jong-Il	Kim_Jong-Il_0002	Kim_Jong-Il_0003
Kristin_Davis	Kristin_Davis_0001	Kristin_Davis_0002
Kristin_Davis	Kristin_Davis_0002	Kristin_Davis_0003
Lance_Armstrong	Lance_Armstrong_0001	Lance_Armstrong_0017
Lance_Armstrong	Lance_Armstrong_0005	Lance_Armstrong_0010
Lance_Armstrong	Lance_Armstrong_0007	Lance_Armstrong_0011
Lance_Armstrong	Lance_Armstrong_0010	Lance_Armstrong_0018
Lance_Armstrong	Lance_Armstrong_0014	Lance_Armstrong_0017
Laurent_Jalabert	Laurent_Jalabert_0001	Laurent_Jalabert_0002
Lindsey_Graham	Lindsey_Graham_0001	Lindsey_Graham_0002
Lisa_Gottsegen	Lisa_Gottsegen_0001	Lisa_Gottsegen_0002
Lleyton_Hewitt	Lleyton_Hewitt_0001	Lleyton_Hewitt_0013
Lleyton_Hewitt	Lleyton_Hewitt_0016	Lleyton_Hewitt_0027
Lleyton_Hewitt	Lleyton_Hewitt_0018	Lleyton_Hewitt_0037
Lleyton_Hewitt	Lleyton_Hewitt_0024	Lleyton_Hewitt_0036
Luis_Ernesto_Derbez_Bautista	Luis_Ernesto_Derbez_Bautista_0003	Luis_Ernesto_Derbez_Bautista_0006
Mario_Dumont	Mario_Dumont_0001	Mario_Dumont_0002
Mark_Wahlberg	Mark_Wahlberg_0001	Mark_Wahlberg_0003
Mark_Wahlberg	Mark_Wahlberg_0002	Mark_Wahlberg_0003
Mark_Wahlberg	Mark_Wahlberg_0002	Mark_Wahlberg_0004
Marlene_Weingartner	Marlene_Weingartner_0001	Marlene_Weingartner_0002
Martha_Bowen	Martha_Bowen_0001	Martha_Bowen_0002
Martin_Cauchon	Martin_Cauchon_0001	Martin_Cauchon_0002
Martin_Hoellwarth	Martin_Hoellwarth_0001	Martin_Hoellwarth_0002
Martin_Sheen	Martin_Sheen_0001	Martin_Sheen_0002
Matthew_Broderick	Matthew_Broderick_0001	Matthew_Broderick_0004
Matthew_Broderick	Matthew_Broderick_0002	Matthew_Broderick_0003
Mike_Krzyzewski	Mike_Krzyzewski_0001	Mike_Krzyzewski_0006
Mikhail_Gorbachev	Mikhail_Gorbachev_0001	Mikhail_Gorbachev_0002
Monica_Bellucci	Monica_Bellucci_0001	Monica_Bellucci_0004
Monica_Bellucci	Monica_Bellucci_0002	Monica_Bellucci_0004
Naomi_Campbell	Naomi_Campbell_0001	Naomi_Campbell_0002
Nestor_Kirchner	Nestor_Kirchner_0003	Nestor_Kirchner_0030
Nestor_Kirchner	Nestor_Kirchner_0012	Nestor_Kirchner_0021
Nestor_Kirchner	Nestor_Kirchner_0017	Nestor_Kirchner_0025
Nicolas_Lapentti	Nicolas_Lapentti_0001	Nicolas_Lapentti_0002
Noah_Wyle	Noah_Wyle_0002	Noah_Wyle_0003
Nora_Bendijo	Nora_Bendijo_0001	Nora_Bendijo_0002
Nursultan_Nazarbayev	Nursultan_Nazarbayev_0001	Nursultan_Nazarbayev_0002
Pamela_Anderson	Pamela_Anderson_0001	Pamela_Anderson_0002
Pamela_Anderson	Pamela_Anderson_0001	Pamela_Anderson_0005
Patricia_Heaton	Patricia_Heaton_0001	Patricia_Heaton_0002
Patty_Schnyder	Patty_Schnyder_0001	Patty_Schnyder_0002
Patty_Schnyder	Patty_Schnyder_0002	Patty_Schnyder_0003
Patty_Schnyder	Patty_Schnyder_0002	Patty_Schnyder_0004
Patty_Schnyder	Patty_Schnyder_0003	Patty_Schnyder_0004
Paul_Bremer	Paul_Bremer_0006	Paul_Bremer_0017
Paul_Bremer	Paul_Bremer_0007	Paul_Bremer_0010
Paul_Bremer	Paul_Bremer_0009	Paul_Bremer_0015
Paul_Bremer	Paul_Bremer_0014	Paul_Bremer_0016
Paul_Sarbanes	Paul_Sarbanes_0001	Paul_Sarbanes_0003
Paul_Sarbanes	Paul_Sarbanes_0002	Paul_Sarbanes_0003
Paul_William_Hurley	Paul_William_Hurley_0001	Paul_William_Hurley_0002
Pervez_Musharraf	Pervez_Musharraf_0001	Pervez_Musharraf_0006
Pervez_Musharraf	Pervez_Musharraf_0002	Pervez_Musharraf_0016
Pervez_Musharraf	Pervez_Musharraf_0003	Pervez_Musharraf_0010
Pervez_Musharraf	Pervez_Musharraf_0004	Pervez_Musharraf_0014
Pervez_Musharraf	Pervez_Musharraf_0005	Pervez_Musharraf_0007
Pervez_Musharraf	Pervez_Musharraf_0005	Pervez_Musharraf_0015
Phil_Gramm	Phil_Gramm_0001	Phil_Gramm_0002
Prince_Edward	Prince_Edward_0001	Prince_Edward_0002
Ricardo_Lagos	Ricardo_Lagos_0003	Ricardo_Lagos_0012
Ricardo_Lagos	Ricardo_Lagos_0023	Ricardo_Lagos_0027
Ricardo_Monasterio	Ricardo_Monasterio_0001	Ricardo_Monasterio_0002
Rich_Gannon	Rich_Gannon_0001	Rich_Gannon_0002
Rick_Perry	Rick_Perry_0001	Rick_Perry_0004
Rick_Perry	Rick_Perry_0001	Rick_Perry_0005
Rick_Perry	Rick_Perry_0002	Rick_Perry_0004
Rick_Perry	Rick_Perry_0003	Rick_Perry_0004
Robert_Bonner	Robert_Bonner_0002	Robert_Bonner_0003
Robert_Evans	Robert_Evans_0002	Robert_Evans_0003
Robert_Fico	Robert_Fico_0001	Robert_Fico_0002
Romano_Prodi	Romano_Prodi_0003	Romano_Prodi_0005
Roy_Moore	Roy_Moore_0002	Roy_Moore_0005
Roy_Moore	Roy_Moore_0003	Roy_Moore_0006
Sachiko_Yamada	Sachiko_Yamada_0001	Sachiko_Yamada_0002
Sachiko_Yamada	Sachiko_Yamada_0001	Sachiko_Yamada_0004
Sachiko_Yamada	Sachiko_Yamada_0002	Sachiko_Yamada_0003
Sachiko_Yamada	Sachiko_Yamada_0002	Sachiko_Yamada_0004
Saeb_Erekat	Saeb_Erekat_0001	Saeb_Erekat_0002
Sam_Bith	Sam_Bith_0001	Sam_Bith_0002
Sam_Bith	Sam_Bith_0001	Sam_Bith_0003
Sam_Bith	Sam_Bith_0002	Sam_Bith_0003
Sean_Hayes	Sean_Hayes_0001	Sean_Hayes_0002
Sergio_Garcia	Sergio_Garcia_0001	Sergio_Garcia_0002
Silvia_Farina_Elia	Silvia_Farina_Elia_0001	Silvia_Farina_Elia_0002
Steve_Ballmer	Steve_Ballmer_0001	Steve_Ballmer_0002
Steve_Ballmer	Steve_Ballmer_0001	Steve_Ballmer_0003
Stockard_Channing	Stockard_Channing_0001	Stockard_Channing_0003
Stockard_Channing	Stockard_Channing_0002	Stockard_Channing_0003
Terry_McAuliffe	Terry_McAuliffe_0001	Terry_McAuliffe_0002
Terry_McAuliffe	Terry_McAuliffe_0001	Terry_McAuliffe_0003
Thomas_Rupprath	Thomas_Rupprath_0001	Thomas_Rupprath_0003
Thomas_Rupprath	Thomas_Rupprath_0002	Thomas_Rupprath_0003
Tom_Ridge	Tom_Ridge_0006	Tom_Ridge_0016
Tom_Ridge	Tom_Ridge_0008	Tom_Ridge_0025
Tom_Ridge	Tom_Ridge_0009	Tom_Ridge_0026
Tom_Ridge	Tom_Ridge_0018	Tom_Ridge_0022
Tommy_Haas	Tommy_Haas_0004	Tommy_Haas_0005
Tommy_Thompson	Tommy_Thompson_0001	Tommy_Thompson_0002
Tommy_Thompson	Tommy_Thompson_0001	Tommy_Thompson_0007
Tommy_Thompson	Tommy_Thompson_0002	Tommy_Thompson_0008
Tommy_Thompson	Tommy_Thompson_0004	Tommy_Thompson_0008
Tommy_Thompson	Tommy_Thompson_0006	Tommy_Thompson_0009
Tomoko_Hagiwara	Tomoko_Hagiwara_0001	Tomoko_Hagiwara_0002
Trent_Lott	Trent_Lott_0001	Trent_Lott_0002
Trent_Lott	Trent_Lott_0002	Trent_Lott_0003
Trent_Lott	Trent_Lott_0002	Trent_Lott_0008
Trent_Lott	Trent_Lott_0006	Trent_Lott_0011
Trent_Lott	Trent_Lott_0007	Trent_Lott_0010
Trent_Lott	Trent_Lott_0008	Trent_Lott_0016
Tsutomu_Takebe	Tsutomu_Takebe_0001	Tsutomu_Takebe_0002
Tyler_Hamilton	Tyler_Hamilton_0001	Tyler_Hamilton_0002
Tyra_Banks	Tyra_Banks_0001	Tyra_Banks_0002
Vaclav_Havel	Vaclav_Havel_0002	Vaclav_Havel_0004
Vaclav_Havel	Vaclav_Havel_0002	Vaclav_Havel_0005
Vaclav_Havel	Vaclav_Havel_0002	Vaclav_Havel_0006
Vaclav_Havel	Vaclav_Havel_0004	Vaclav_Havel_0009
Vaclav_Havel	Vaclav_Havel_0005	Vaclav_Havel_0007
Valerie_Harper	Valerie_Harper_0001	Valerie_Harper_0002
Vince_Carter	Vince_Carter_0003	Vince_Carter_0004
Vincent_Brooks	Vincent_Brooks_0002	Vincent_Brooks_0003
Vincent_Brooks	Vincent_Brooks_0002	Vincent_Brooks_0007
Vincent_Brooks	Vincent_Brooks_0004	Vincent_Brooks_0005
Vincent_Brooks	Vincent_Brooks_0004	Vincent_Brooks_0007
Vincent_Gallo	Vincent_Gallo_0001	Vincent_Gallo_0002
Vitali_Klitschko	Vitali_Klitschko_0001	Vitali_Klitschko_0002
Vitali_Klitschko	Vitali_Klitschko_0003	Vitali_Klitschko_0004
William_Macy	William_Macy_0001	William_Macy_0004
William_Macy	William_Macy_0002	William_Macy_0004
William_Macy	William_Macy_0003	William_Macy_0004
Woody_Allen	Woody_Allen_0002	Woody_Allen_0004
Woody_Allen	Woody_Allen_0003	Woody_Allen_0005
Yukiko_Okudo	Yukiko_Okudo_0001	Yukiko_Okudo_0002
Zico	Zico_0001	Zico_0002
Zico	Zico_0002	Zico_0003
Abdel_Madi_Shabneh	Abdel_Madi_Shabneh_0001	Dean_Barker	Dean_Barker_0001
Abdel_Madi_Shabneh	Abdel_Madi_Shabneh_0001	Giancarlo_Fisichella	Giancarlo_Fisichella_0001
Abdel_Madi_Shabneh	Abdel_Madi_Shabneh_0001	Mikhail_Gorbachev	Mikhail_Gorbachev_0001
Abdul_Rahman	Abdul_Rahman_0001	Portia_de_Rossi	Portia_de_Rossi_0001
Abel_Pacheco	Abel_Pacheco_0001	Jong_Thae_Hwa	Jong_Thae_Hwa_0002
Abel_Pacheco	Abel_Pacheco_0002	Jean-Francois_Lemounier	Jean-Francois_Lemounier_0001
Afton_Smith	Afton_Smith_0001	Dwayne_Wade	Dwayne_Wade_0001
Ahmad_Jbarah	Ahmad_Jbarah_0001	James_Comey	James_Comey_0001
Akhmed_Zakayev	Akhmed_Zakayev_0002	Donna_Morrissey	Donna_Morrissey_0001
Alan_Dershowitz	Alan_Dershowitz_0001	Bertrand_Bonello	Bertrand_Bonello_0001
Alanis_Morissette	Alanis_Morissette_0001	Martin_Cauchon	Martin_Cauchon_0001
Alexander_Lukashenko	Alexander_Lukashenko_0001	Heather_Chinnock	Heather_Chinnock_0001
Alfonso_Cuaron	Alfonso_Cuaron_0001	Jason_Priestley	Jason_Priestley_0001
Alfonso_Cuaron	Alfonso_Cuaron_0001	Patty_Schnyder	Patty_Schnyder_0002
Alfonso_Soriano	Alfonso_Soriano_0001	Bill_Nelson	Bill_Nelson_0002
Alfonso_Soriano	Alfonso_Soriano_0001	Julio_De_Brun	Julio_De_Brun_0001
Alfonso_Soriano	Alfonso_Soriano_0001	Patty_Schnyder	Patty_Schnyder_0003
Alonzo_Mourning	Alonzo_Mourning_0001	Cecilia_Cheung	Cecilia_Cheung_0001
Amber_Tamblyn	Amber_Tamblyn_0002	Benjamin_Netanyahu	Benjamin_Netanyahu_0001
Amporn_Falise	Amporn_Falise_0001	Joe_Pantoliano	Joe_Pantoliano_0001
Anders_Fogh_Rasmussen	Anders_Fogh_Rasmussen_0002	Johnson_Panjaitan	Johnson_Panjaitan_0002
Andre_Bucher	Andre_Bucher_0001	Joseph_Ralston	Joseph_Ralston_0001
Andre_Bucher	Andre_Bucher_0001	Maria_Garcia	Maria_Garcia_0001
Andrew_Gilligan	Andrew_Gilligan_0001	Henry_Castellanos	Henry_Castellanos_0001
Andrew_Shutley	Andrew_Shutley_0001	Edmund_Stoiber	Edmund_Stoiber_0005
Andrew_Shutley	Andrew_Shutley_0001	Mitchell_Swartz	Mitchell_Swartz_0001
Andrew_Shutley	Andrew_Shutley_0001	Saeb_Erekat	Saeb_Erekat_0002
Andy_Dick	Andy_Dick_0001	Simon_Yam	Simon_Yam_0001
Andy_Griffith	Andy_Griffith_0001	Osrat_Iosef	Osrat_Iosef_0001
Andy_Wisecarver	Andy_Wisecarver_0001	Dimitar_Berbatov	Dimitar_Berbatov_0001
Angela_Lansbury	Angela_Lansbury_0001	Steven_Van_Zandt	Steven_Van_Zandt_0001
Angela_Lansbury	Angela_Lansbury_0002	John_Coomber	John_Coomber_0001
Ann_Veneman	Ann_Veneman_0006	Sergio_Garcia	Sergio_Garcia_0002
Ann_Veneman	Ann_Veneman_0008	Ted_Williams	Ted_Williams_0001
Annie-Jeanne_Reynaud	Annie-Jeanne_Reynaud_0001	SJ_Twu	SJ_Twu_0001
Anthony_Carter	Anthony_Carter_0001	Eliza_Dushku	Eliza_Dushku_0001
Antonio_Cassano	Antonio_Cassano_0001	Paul_Celluci	Paul_Celluci_0001
Anwar_Ibrahim	Anwar_Ibrahim_0001	David_Alpay	David_Alpay_0001
Armand_Sargen	Armand_Sargen_0001	Daryl_Sabara	Daryl_Sabara_0001
Armand_Sargen	Armand_Sargen_0001	Kelvin_Sampson	Kelvin_Sampson_0003
Armand_Sargen	Armand_Sargen_0001	Lisa_Gottsegen	Lisa_Gottsegen_0002
Atom_Egoyan	Atom_Egoyan_0001	Bill_Stapleton	Bill_Stapleton_0001
Atom_Egoyan	Atom_Egoyan_0001	Janis_Ruth_Coulter	Janis_Ruth_Coulter_0001
Barbara_Brezigar	Barbara_Brezigar_0002	Doris_Roberts	Doris_Roberts_0002
Barbara_Felt-Miller	Barbara_Felt-Miller_0001	Leticia_Dolera	Leticia_Dolera_0001
Bart_Freundlich	Bart_Freundlich_0001	Ernie_Grunfeld	Ernie_Grunfeld_0001
Bart_Freundlich	Bart_Freundlich_0001	Kirsten_Gilham	Kirsten_Gilham_0001
Benjamin_Martinez	Benjamin_Martinez_0001	Garry_McCoy	Garry_McCoy_0001
Benjamin_Netanyahu	Benjamin_Netanyahu_0001	Maria_Callas	Maria_Callas_0001
Benjamin_Netanyahu	Benjamin_Netanyahu_0005	Frank_Beamer	Frank_Beamer_0001
Bernard_Law	Bernard_Law_0001	Liu_Xiaoqing	Liu_Xiaoqing_0001
Bernard_Law	Bernard_Law_0003	Valerie_Harper	Valerie_Harper_0002
Bertrand_Bonello	Bertrand_Bonello_0001	Jong_Thae_Hwa	Jong_Thae_Hwa_0002
Bill_Bradley	Bill_Bradley_0001	Chen_Tsai-chin	Chen_Tsai-chin_0001
Bill_Bradley	Bill_Bradley_0001	Helen_Alvare	Helen_Alvare_0001
Bill_Elliott	Bill_Elliott_0001	Mary_Anne_Souza	Mary_Anne_Souza_0001
Bill_Frist	Bill_Frist_0005	Jimmy_Kimmel	Jimmy_Kimmel_0002
Bill_Maher	Bill_Maher_0001	Brad_Russ	Brad_Russ_0001
Bill_Maher	Bill_Maher_0001	Juliette_Binoche	Juliette_Binoche_0001
Bill_Nelson	Bill_Nelson_0001	Kim_Jong-Il	Kim_Jong-Il_0003
Bill_Nelson	Bill_Nelson_0002	Gillian_Anderson	Gillian_Anderson_0001
Bill_Stapleton	Bill_Stapleton_0001	Sedigh_Barmak	Sedigh_Barmak_0001
Bill_Stapleton	Bill_Stapleton_0001	Valerie_Harper	Valerie_Harper_0001
Billy_Bob_Thornton	Billy_Bob_Thornton_0001	Herb_Dhaliwal	Herb_Dhaliwal_0001
Billy_Bob_Thornton	Billy_Bob_Thornton_0001	Nong_Duc_Manh	Nong_Duc_Manh_0001
Bob_Alper	Bob_Alper_0001	Kevin_Millwood	Kevin_Millwood_0001
Bob_Graham	Bob_Graham_0002	Dwayne_Wade	Dwayne_Wade_0001
Bob_Petrino	Bob_Petrino_0001	Geraldine_Chaplin	Geraldine_Chaplin_0004
Bob_Petrino	Bob_Petrino_0001	Jorge_Castaneda	Jorge_Castaneda_0001
Boris_Becker	Boris_Becker_0004	Julianna_Margulies	Julianna_Margulies_0002
Brad_Russ	Brad_Russ_0001	Hana_Urushima	Hana_Urushima_0001
Brad_Russ	Brad_Russ_0001	Romeo_Gigli	Romeo_Gigli_0001
Brawley_King	Brawley_King_0001	Tom_Glavine	Tom_Glavine_0002
